epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,7366.23,3.68581,1.48835,0.7991,0.26392,0.11921,0.06326,0.01742,3.62339,1.44908,0.79463,0.0008714,0.0008714,0.0008714
116,7484.52,3.62924,1.47215,0.79483,0.26891,0.1196,0.06732,0.01848,3.64047,1.44623,0.79428,0.0008615,0.0008615,0.0008615
117,7604.76,3.62317,1.47622,0.80042,0.26337,0.11864,0.06707,0.01805,3.64158,1.45738,0.79662,0.0008516,0.0008516,0.0008516
118,7761.09,3.63077,1.47174,0.7947,0.26704,0.11972,0.06402,0.01724,3.62526,1.44414,0.79589,0.0008417,0.0008417,0.0008417
119,7950.66,3.67258,1.48757,0.79445,0.24487,0.11084,0.05892,0.01581,3.69924,1.47078,0.80317,0.0008318,0.0008318,0.0008318
120,8073.06,3.59671,1.47087,0.79556,0.25403,0.1143,0.0613,0.01654,3.67159,1.46095,0.80037,0.0008219,0.0008219,0.0008219
121,8215.99,3.63698,1.46725,0.79433,0.25923,0.11549,0.06389,0.01795,3.65071,1.45339,0.79984,0.000812,0.000812,0.000812
122,8324.37,3.63682,1.47597,0.79115,0.2542,0.11352,0.06254,0.01716,3.6711,1.46351,0.80097,0.0008021,0.0008021,0.0008021
123,8523.38,3.62938,1.47877,0.79698,0.25777,0.11451,0.06179,0.01673,3.67344,1.46698,0.80023,0.0007922,0.0007922,0.0007922
124,8666.03,3.61336,1.46694,0.79518,0.25294,0.11423,0.0624,0.01695,3.65894,1.45937,0.8002,0.0007823,0.0007823,0.0007823
125,8779.32,3.64667,1.46961,0.79288,0.27196,0.122,0.06946,0.01885,3.61163,1.44367,0.79431,0.0007724,0.0007724,0.0007724
126,8925.25,3.62511,1.47368,0.79342,0.26414,0.11658,0.06478,0.01665,3.6667,1.45314,0.80028,0.0007625,0.0007625,0.0007625
127,9048.48,3.61556,1.45988,0.79603,0.24972,0.11303,0.06072,0.01564,3.68484,1.46018,0.80082,0.0007526,0.0007526,0.0007526
128,9149.65,3.59919,1.53322,0.79089,0.26201,0.11905,0.06434,0.01663,3.62997,1.45239,0.7957,0.0007427,0.0007427,0.0007427
129,9265.76,3.62126,1.47566,0.79924,0.25987,0.11636,0.0633,0.01669,3.65459,1.45928,0.79913,0.0007328,0.0007328,0.0007328
130,9389.07,3.62895,1.46647,0.79559,0.25853,0.11582,0.06291,0.01753,3.66525,1.46231,0.80185,0.0007229,0.0007229,0.0007229
131,9488.87,3.65092,1.4765,0.79683,0.26127,0.11684,0.06185,0.01598,3.64716,1.45425,0.79865,0.000713,0.000713,0.000713
132,9649.5,3.57938,1.4532,0.78511,0.26058,0.11615,0.06386,0.0172,3.65258,1.45889,0.79982,0.0007031,0.0007031,0.0007031
133,9756.61,3.61326,1.46279,0.79263,0.24708,0.11212,0.05804,0.01495,3.69227,1.46429,0.80381,0.0006932,0.0006932,0.0006932
134,9910.07,3.5959,1.44813,0.78781,0.25356,0.11322,0.06114,0.01665,3.68655,1.45696,0.80304,0.0006833,0.0006833,0.0006833
135,10059.6,3.59445,1.45935,0.78677,0.25356,0.11461,0.06179,0.01675,3.69263,1.4584,0.80309,0.0006734,0.0006734,0.0006734
136,10179.5,3.57094,1.43661,0.78981,0.24507,0.11028,0.05632,0.01528,3.71656,1.46908,0.80555,0.0006635,0.0006635,0.0006635
137,10384.7,3.61125,1.46013,0.78779,0.24392,0.11094,0.05707,0.01595,3.70243,1.46483,0.80354,0.0006536,0.0006536,0.0006536
138,10502.9,3.59745,1.4596,0.78872,0.25976,0.11697,0.06436,0.01735,3.64718,1.45469,0.80064,0.0006437,0.0006437,0.0006437
139,10635.9,3.60412,1.46125,0.7859,0.24546,0.11195,0.06076,0.01591,3.70439,1.47098,0.80484,0.0006338,0.0006338,0.0006338
140,10793.9,3.56971,1.43655,0.79193,0.26249,0.11835,0.0631,0.01653,3.65247,1.44814,0.79832,0.0006239,0.0006239,0.0006239
141,10945.9,3.56449,1.44427,0.79145,0.26017,0.11691,0.06243,0.01638,3.65808,1.45323,0.79836,0.000614,0.000614,0.000614
142,11063.9,3.54835,1.44749,0.79408,0.2589,0.11739,0.0642,0.01627,3.65409,1.45495,0.79847,0.0006041,0.0006041,0.0006041
143,11651.1,3.55759,1.4408,0.79053,0.25615,0.11456,0.06216,0.01598,3.66808,1.45744,0.80105,0.0005942,0.0005942,0.0005942
144,11873.1,3.5575,1.44353,0.79502,0.26122,0.11667,0.06504,0.01697,3.65158,1.45632,0.79889,0.0005843,0.0005843,0.0005843
145,12013.3,3.58246,1.44587,0.78532,0.25003,0.11215,0.06197,0.01575,3.68874,1.46845,0.80357,0.0005744,0.0005744,0.0005744
146,12123.7,3.54941,1.43626,0.78617,0.25173,0.11224,0.0609,0.01551,3.68906,1.47032,0.80326,0.0005645,0.0005645,0.0005645
147,12248.7,3.59343,1.45135,0.79064,0.25311,0.1129,0.06087,0.01573,3.68105,1.46537,0.80283,0.0005546,0.0005546,0.0005546
